zipcode,sources,pdb_org_id,state,city,region,url,longitude,prefixes,latitude,pch_id,ix_id,country,address,name,iata,alternatenames,geo_id,org_id,pdb_id
,"['pdb', 'he', 'pch']",27159,,,North America,http://www.abqix.net,,"{'ipv4': ['206.83.42.0/24'], 'ipv6': ['2001:504:9a::/64']}",,2253,1292,US,,Albuquerque IXP,,['ABQIX'],,27159,3322
,"['pdb', 'pch']",7483,HI,Honolulu,North America,http://www.aloha-ix.net,-157.83000,"{'ipv4': ['206.53.207.0/25', '206.53.207.128/25'], 'ipv6': ['2001:504:65::/64', '2001:504:65:1::/64', '2001:504:3b:101::/64']}",21.30000,2184,21,US,,Ninja-IX Hawaii,,['Aloha-IX'],"[5856195, 6957263]",7483,1489
,['he'],,,Kapolei (Oahu),North America,http://www.aloha-ix.net,,"{'ipv4': ['206.53.207.0/25', '206.53.207.128/25'], 'ipv6': ['2001:504:65::/64', '2001:504:65:1::/64', '2001:504:3b:101::/64']}",,,1587,US,,Aloha-IX,,[],,,
,"['pdb', 'he', 'pch']",1258,Kärnten,,Europe,https://ixp-manager.aaix.at,,"{'ipv4': ['193.37.144.0/24'], 'ipv6': ['2001:7f8:4a::/48']}",,1225,22,AT,,Alpes Adria Internet Exchange,KLU,"['AAIX', 'Alpes Adria Internet eXchange']",2774326,1258,377
,['pch'],,,Fremont,North America,,-122.00044,"{'ipv4': ['44.190.42.0/24'], 'ipv6': ['2a0e:8f00:fddd::/64']}",37.56283,2271,1386,US,,Amateur Radio Internet Exchange,,[],5350734,,
,"['pdb', 'he', 'pch']",2634,,,Europe,http://www.ams-ix.net/,,"{'ipv4': ['80.249.208.0/21', '193.105.101.0/24'], 'ipv6': ['2001:7f8:1::/64']}",,160,23,NL,,Amsterdam Internet Exchange,AMS,['AMS-IX'],,2634,26
,"['pdb', 'he']",10883,,Luanda,Africa,http://www.angola-ixp.ao/,,"{'ipv4': ['196.49.6.0/24', '196.223.1.0/24'], 'ipv6': ['2001:43f8:391::/64', '2001:43f8:390::/64']}",,,25,AO,"Rua 29, EPAL 30 - Patriota - Benfica",Angola IXP,,"['Angola Internet Exchange point', 'ANG-IX']",2240449,10883,421
,['pch'],,,Luanda,Africa,,13.23000,"{'ipv4': ['196.223.1.0/24'], 'ipv6': []}",-8.85000,932,24,AO,,AngolaIXP -- Angola Internet Exchange Point,NDD,[],2240449,,
,['pch'],,,Los Angeles,North America,,-118.25000,"{'ipv4': ['206.72.210.0/23', '206.223.143.0/24'], 'ipv6': ['2001:504:13::/64']}",33.97000,373,26,US,,Any2 California,SNA,[],5368361,,
,['he'],,,Washington,North America,http://www.coresite.com,,"{'ipv4': [], 'ipv6': []}",,,1293,US,,Any2 East,,[],4140963,,
,['he'],,,Los Angeles,North America,http://www.coresite.com,-118.25000,"{'ipv4': [], 'ipv6': []}",33.97000,,1745,US,,Any2 West,,[],5368361,,
,['pdb'],34,CA,,,http://www.coresite.com,,"{'ipv4': ['206.72.210.0/23'], 'ipv6': ['2001:504:13::/64']}",,,162,US,,Any2West,,['CoreSite - Any2West'],,34,142
,"['pdb', 'he']",26384,,,Asia-Pacific,https://ix.apernet.io,,"{'ipv4': ['103.152.35.0/24'], 'ipv6': ['2406:4440::/64']}",,,1342,,,Aperture-IX,,['Aperture Internet Exchange'],,26384,3471
77110,"['pdb', 'he', 'pch']",27981,,Aqaba,Europe,http://aqabaix.com/,,"{'ipv4': ['84.252.106.0/24'], 'ipv6': ['2a10:1100::/64']}",,2249,1295,JO,King Abduallah st. 41,Aqaba IX,AQJ,[],250774,27981,3366
,"['pdb', 'he']",14993,,Yerevan,Europe,http://armix.am,44.47000,"{'ipv4': ['91.218.7.0/25', '91.218.4.0/22'], 'ipv6': ['2001:7f8:94::/64']}",40.13000,,27,AM,,ArmIX,,['Armenian Internet Exchange'],616052,14993,851
,['pch'],,,Yerevan,Europe,,44.47000,"{'ipv4': ['91.218.4.0/24'], 'ipv6': []}",40.13000,1499,28,AM,,Armenian Internet Traffic Exchange,EVN,[],616052,,
,"['pdb', 'he', 'pch']",8440,,,Asia-Pacific,https://www.bbix.net/en,,"{'ipv4': ['103.203.156.0/23'], 'ipv6': ['2403:c780:a800:bb00::/64']}",,2228,30,,,Asia Smart IX [BBIX Asia],,['Asia Smart IX'],,8440,1468
,"['pdb', 'he', 'pch']",33829,,Praia,Africa,http://cvixp.cv,-23.51330,"{'ipv4': ['196.60.112.0/24'], 'ipv6': ['2001:43f8:16c0::/64']}",14.93300,2324,1669,CV,,Associação Cabo Verde Internet Exchange Point,,['CV-IXP'],3374333,33829,4037
1098 XG,"['pdb', 'he', 'pch']",17513,NH,Amsterdam,Europe,https://www.asteroidhq.com/ixp-locations/1,,"{'ipv4': ['185.1.94.0/24'], 'ipv6': ['2001:7f8:b6::/64', '2001:7f8:b6:1::/64']}",,2000,31,NL,,Asteroid Amsterdam IXP,,"['Asteroid Amsterdam IX', 'Asteroid Amsterdam']",2759794,17513,1812
,"['pdb', 'he', 'pch']",17513,Changamwe,Mombasa,Africa,https://asteroidhq.com/ixp-locations/4,,"{'ipv4': ['196.60.66.0/24'], 'ipv6': ['2001:7f8:b6:2::/64']}",,2075,920,KE,Mombasa RoadMiritini,Asteroid Mombasa,"MBA2, MBA",[],186301,17513,2815
,"['pdb', 'he']",17513,,,Africa,https://asteroidhq.com/ixp-locations/6,,"{'ipv4': ['196.60.14.0/24'], 'ipv6': ['2001:7f8:b6:6::/64']}",,,1461,KE,,Asteroid Nairobi,,[],,17513,3734
,"['pdb', 'he', 'pch']",10302,(None),,Asia-Pacific,http://www.ix.nz,,"{'ipv4': ['43.243.21.0/24'], 'ipv6': ['2001:7fa:11:6::/64']}",,1880,32,NZ,,Auckland Internet Exchange,AKL2,"['AKL-IX (Auckland NZ)', 'AKL-IX', 'New Zealand Internet Exchange, Auckland']",,10302,977
,"['pdb', 'pch']",727,,,Asia-Pacific,http://ape.nzix.net/,,"{'ipv4': ['192.203.154.0/24'], 'ipv6': ['2001:7fa:4::/48', '2001:7fa:4:c0cb::/64']}",,164,33,NZ,,Auckland Peering Exchange,AKL,['APE'],,727,97
,"['pdb', 'he', 'pch']",10708,,Clermont-Ferrand,Europe,http://www.auvernix.org,3.07771,"{'ipv4': ['185.1.2.0/24'], 'ipv6': ['2001:7f8:81::/64']}",45.78706,2021,34,FR,,AuvernIX,,['IXP et NAP d’Auvergne et du Massif Central'],3024635,10708,1019
,['he'],,,Sofia,Europe,http://www.b-ix.net/,23.38000,"{'ipv4': ['185.1.30.0/24', '217.174.157.0/24'], 'ipv6': ['2001:7f8:8e::/48']}",42.65000,,35,BG,,B-IX Balkans,,[],727011,,
,"['pdb', 'he']",16462,,Irkutsk,Europe,https://baikal-ix.ru,,"{'ipv4': ['185.1.76.0/24'], 'ipv6': ['2001:7f8:a7::/48']}",,,36,RU,,BAIKAL-IX,,[],2023469,16462,1669
,"['pdb', 'he']",336,,Quezon City,Asia Pacific,,,"{'ipv4': ['202.78.121.0/24'], 'ipv6': []}",,,37,PH,,BAYANTEL,,['Bayan Telecommunications Internet and Gaming Exchange'],1692192,336,154
,"['pdb', 'he', 'pch']",21284,,"['Balzers', 'Amsterdam']",Europe,"['https://www.securebit.ch', 'https://www.bbix.net/en/']","['9.50809', '4.77000']","{'ipv4': ['185.1.216.0/24', '101.203.78.0/24', '164.132.186.192/26'], 'ipv6': ['2001:7f8:d9:ffff::/64', '2001:7f8:d9:4::/64', '2403:c780:7200:b078::/64', '2001:7f8:d9:ff::/64']}","['47.06975', '52.30000']",2277,1095,"['NL', 'LI']",,Virtual Internet Exchange Point,,"['BBIX Amsterdam', 'SBIX Amsterdam', 'Securebit Internet Exchange Amsterdam']","[3042073, 2759794]",21284,2753
1098 XG,['pdb'],8440,,Amsterdam,Europe,https://www.bbix.net/en/,,"{'ipv4': ['101.203.78.0/24'], 'ipv6': ['2403:c780:7200:b078::/64']}",,,1180,NL,Science Park 121,BBIX Amsterdam,,['BroadBand Internet eXchange Amsterdam'],2759794,8440,3190
60616-1568,"['pdb', 'he']",8440,IL,Chicago,North America,https://www.bbix.net/en/,,"{'ipv4': ['101.203.75.0/24'], 'ipv6': ['2403:c780:7200:b075::/64']}",,,1181,US,350 E Cermak Rd5th Floor / 6th Floor / 8th Floor,BBIX Chicago,,['BroadBand Internet eXchange Chicago'],4887398,8440,3187
75207-3134,"['pdb', 'he']",8440,TX,Dallas,North America,https://www.bbix.net/en/,,"{'ipv4': ['101.203.73.0/24'], 'ipv6': ['2403:c780:7200:b073::/64']}",,,1182,US,1950 N Stemmons Fwy,BBIX Dallas,,['BroadBand Internet eXchange Dallas'],4684888,8440,3186
,"['pdb', 'he', 'pch']",8440,Fukuoka,Fukuoka,Asia-Pacific,https://www.bbix.net/,,"{'ipv4': ['101.203.104.0/24'], 'ipv6': ['2001:de8:c:4::/64']}",,141,38,JP,,BBIX Fukuoka,,['BroadBand Internet eXchange Fukuoka'],1863967,8440,3722
,"['pdb', 'he', 'pch']",8440,,,Asia-Pacific,https://www.bbix.net/en/,,"{'ipv4': ['103.203.158.0/23'], 'ipv6': ['2403:c780:b800:bb00::/64']}",,1836,39,,,BBIX Hong Kong,,['BroadBand Internet eXchange Hong Kong'],,8440,1449
E14 2AA,"['pdb', 'he']",8440,,London,Europe,https://www.bbix.net/en/,-0.45000,"{'ipv4': ['101.203.76.0/24'], 'ipv6': ['2403:c780:7200:b076::/64']}",51.48000,,1183,GB,14 Coriander Avenue,BBIX London,,['BroadBand Internet eXchange London'],2643743,8440,3189
,"['pdb', 'he']",8440,CA,,North America,https://www.bbix.net/en/,,"{'ipv4': ['101.203.74.0/24'], 'ipv6': ['2403:c780:7200:b074::/64']}",,,1184,US,,BBIX Los Angeles,,"['BroadBand Internet eXchange US-West', 'BBIX US-West']",,8440,3185
