asciiname,admin2_code,elevation,longitude,dem,feature_code,name,geoname_id,admin1_code,feature_class,population,admin3_code,geo_id,country_code,cc2,admin4_code,latitude,alternatenames
New York City,,10,-74.00597,57,PPL,New York City,5128581,NY,P,8175133,,5128581,US,,,40.71427,"['aebura', 'bandar raya new york', 'big apple', 'cathair nua eabhraic', 'city of new york', 'eabhraig nuadh', 'efrog newydd', 'evrek nowydh', 'ga-no-no', 'kanon:no', 'kanono', 'kanón:no', 'kota new york', 'lungsod ng new york', ""n'ju-jork"", 'ny', 'nyc', 'nea yorke', 'nei yarrick schtadt', 'neu amsterdam', 'neu jorck', 'new amsterdam', 'new orange', 'new yorc', 'new york', 'new york city', 'new york stad', 'new york borg', 'new york kenti', 'new york-borg', 'new yorke', 'new yorku', 'niujorkas', 'nju jork', 'njujork', 'nouvelle yorck', 'nouvieau york', 'nov-jorko', 'nova amsterda', 'nova iorque', 'nova york', 'nova-york', 'novjorko', 'novum eboracum', 'nowy jork', 'nua-eabhrac', 'nueva york', 'nujorka', 'nyja jorvik', 'nyu york shehiri', 'nòva york', 'nýja jórvík', 'thanh pho new york', 'the big apple', 'thành phố new york', 'york berri', 'manhattan', ""n'yuyorka"", ""ni'u iyarka siti"", 'niu yue', 'niu yue shi', 'niyuyark nakaram', 'nkhr niwyxrk', 'nyuyog', 'nyuyog si', 'nyuyoku', 'nyw ywrq', 'nywywrk', 'ņujorka', 'νέα υόρκη', 'њу јорк', 'њујорк', 'нью-ёрк', 'нью-йорк', 'ню йорк', 'ניו יארק', 'ניו יורק', 'ניו־יאָרק', 'نيويورك', 'نیویارک شہر', 'نیویورک', 'न्यूयॉर्क', 'নিউ ইয়র্ক সিটি', 'நியூயார்க் நகரம்', 'นครนิวยอร์ก', 'ნიუ-იორკი', 'ニューヨーク', 'マンハッタン', '紐約市', '纽约', '뉴욕', '뉴욕 시']"
Staten Island,085,21,-74.13986,23,PPLA2,Staten Island,5139568,NY,P,468730,,5139568,US,,,40.56233,"['borough of staten island', 'staten island']"
Westbury,059,31,-73.58763,33,PPL,Westbury,5144040,NY,P,15379,53000,5144040,US,,,40.75566,"['vestberi', 'westbury', 'westbury station', 'wstbary', 'вестбери', 'وستباري']"
Akron,153,291,-81.51901,295,PPLA2,Akron,5145476,OH,P,197542,01000,5145476,US,,,41.08144,"['akron', 'akron city', 'akrona', 'akronas', 'akrun', 'cak', 'ehkron', 'new portage', 'summitville', 'a ke lun', 'aekeuleon', 'akran  awhayw', 'akrwn', 'akuron', 'ekran', 'акрон', 'акрън', 'экрон', 'ակրոն', 'אקרון', 'آكرون', 'اکران، اوهایو', 'اکرون، اوہائیو', 'अ\u200dॅक्रन', 'ஏக்ரன்', 'അക്രോൺ', 'アクロン', '阿克伦', '애크런']"
Cleveland,035,199,-81.69541,204,PPLA2,Cleveland,5150529,OH,P,388072,16000,5150529,US,,,41.4995,"['cle', 'cleaveland', 'cleveland', 'forest city', 'gorad kliulend', 'klevalehnd', 'klevlando', 'klivelant', 'klivland', 'klivlandas', 'klivlend', 'klivlenda', 'klīvlenda', 'ka fu lan', 'ke li fu lan', 'keullibeullaendeu', 'kilivlant', 'klebhilyanda', 'klivhalanda', 'klyfland', 'klywlnd', 'kuriburando', 'qlyblnd', 'κλίβελαντ', 'горад кліўленд', 'клевалэнд', 'кливланд', 'кливленд', 'клівленд', 'քլիվլենդ', 'קליבלנד', 'קליוולאנד', 'كليفلاند', 'کلیولند', 'کلیولینڈ، اوہائیو', 'क्लीव्हलंड', 'ক্লেভিল্যান্ড', 'கிளீவ்லன்ட்', 'คลีฟแลนด์', 'კლივლენდი', 'クリーブランド', '克利夫兰', '克里夫蘭', '卡夫蘭', '클리블랜드']"
Dublin,049,253,-83.11408,253,PPL,Dublin,5152333,OH,P,45098,22694,5152333,US,,,40.09923,"['dablin', 'dublin', 'dublinas', 'daburin', 'dbln', 'deobeullin', 'dwblyn  awhayw', 'даблин', 'дублин', 'دبلن', 'دوبلین، اوهایو', 'ڈبلن، اوہائیو', 'ダブリン', '더블린']"
Fairlawn,153,308,-81.60984,309,PPL,Fairlawn,5153592,OH,P,7413,26166,5153592,US,,,41.12783,['']
Westerville,049,265,-82.92907,262,PPL,Westerville,5176472,OH,P,38384,83342,5176472,US,,,40.12617,"['vehstervill', 'vestvil', 'westervelt', 'westerville', 'wstrwyl  awhayw', 'wystyrfyl', 'вествил', 'вэстервилл', 'وسترویل، اوهایو', 'ويستيرفيل']"
Bethlehem,095,109,-75.37046,111,PPL,Bethlehem,5180225,PA,P,74892,06088,5180225,US,,,40.62593,"['bethlehem', 'betlegem', 'betlehemas', 'betlekhem', 'menagachsink', 'vifleem', 'beseullihem', 'besurehemu', 'bo li heng', 'btlhm  pnsylwanya', 'byt allhm  pnslwanya', 'byt allhm  pnslwynya', 'byt lhm', 'бетлегем', 'бетлехем', 'вифлеем', 'بتلهم، پنسیلوانیا', 'بيت لحم', 'بیت اللحم، پنسلوانیا', 'بیت اللحم، پنسلوینیا', 'ベスレヘム', '伯利恒', '베슬리헴']"
Pittsburgh,003,233,-79.99589,239,PPLA2,Pittsburgh,5206379,PA,P,304391,61000,5206379,US,,,40.44062,"['allegheny', 'fort dunmore', 'fort duquesne', 'fort pitt', 'fort trent', 'gorad pitsburg', 'pit', 'pitsbrg', 'pitsburg', 'pitsburga', 'pitsburgas', 'pitsburgo', 'pitsmpernk', 'pitts-bourg', 'pittsbarig', 'pittsburg', 'pittsburgh', 'pittsburgum', 'pittsburq', 'the manor of pittsburgh', 'bytsbrgh', 'phitts beirk', 'pi ci bao', 'pi zi bao', 'picheubeogeu', 'pitasabaraga', 'pitsabarga', 'pitspark', 'pits\u200cbarg', 'pittsubagu', 'pytsbrg  pnsylwanya', 'pytsbwrg', 'πίτσμπεργκ', 'горад пітсбург', 'питсбург', 'питсбърг', 'питтсбург', 'піттсбург', 'פיטסבורג', 'بيتسبرغ', 'پٹس برگ', 'پٹسبرگ', 'پیتسبرگ، پنسیلوانیا', 'पिट्सबर्ग', 'ਪਿਟਸਬਰਗ', 'பிட்ஸ்பர்க்', 'పిట్స్\u200cబర్గ్', 'ಪಿಟ್ಸ್\u200cಬರ್ಗ್', 'พิตต์สเบิร์ก', 'ピッツバーグ', '匹兹堡', '匹茲堡', '피츠버그']"
Madison,025,267,-89.40123,272,PPLA,Madison,5261457,WI,P,248951,48000,5261457,US,,,43.07305,"['gorad madysan', 'msn', 'madison', 'madisonas', 'madisonia', 'madisons', 'madisun', 'mantison', 'medison', 'medisona', 'mehdison', 'madisan', 'madison', 'madisoni', 'madyswn', 'maediseun', 'mai di xun', 'maidisana', 'mdysn  wyskansyn', 'mdyswn', 'medisana', 'metican', 'μάντισον', 'горад мадысан', 'мадисон', 'мадисън', 'медисон', 'медісон', 'мэдисон', 'մեդիսոն', 'מדיסון', 'ماديسون', 'مدیسن، ویسکانسین', 'میڈیسن', 'میڈیسون، وسکونسن', 'माडिसन्', 'मॅडिसन', 'मेडिसन', 'मैडिसन', 'மேடிசன்', 'მადისონი', 'マディソン', '麦迪逊', '매디슨']"
Milwaukee,079,188,-87.90647,203,PPLA2,Milwaukee,5263045,WI,P,600155,53000,5263045,US,,,43.0389,"['gorad miluoki', 'juneautown', 'kilbourntown', 'mke', 'mahn-a-wau-kee seepe', 'mahn-a-wauk-ee see-pe', 'mahn-a-waukee seepe', 'mahn-a-waukie', 'mahn-ah-wauk seepe', 'mahnawauk', 'man-a-wau-kee', 'man-a-wauk-ee', 'man-na-wah-kie', ""mana'wa"", 'manawaki', 'manawaukee', 'manayaukee', 'maunahwauke', 'mee-lee-waug-ee', 'meliki', 'melleoki', 'melwarik', 'meneawkee', 'meolaki', 'mil-wah-kie', 'milgouoki', 'milioke', 'millewacki', 'millicki', 'milo-aki', 'milouagui', 'milouakik', 'milowages', 'miluoki', 'miluokʻi', 'milvauchia', 'milvoki', 'milvokio', 'milvokis', 'milwacky', 'milwahkie', 'milwalka', 'milwalky', 'milwarck', 'milwarik', 'milwaucki', 'milwaukee', 'milwaukie', 'minewaki', 'miniaki', 'minnawack', 'winnipesaukee', 'mi er wo ji', 'mil wxki', 'mil-woki', ""mila'oyaki"", 'milavoki', 'miluokʼi', 'milvaki', 'milvakki', 'milvauki', 'miruu~oki', 'mlwaky', 'mylwaky', 'mylwaky  wyskansyn', 'mylwwqy', 'μιλγουόκι', 'горад мілуокі', 'милвоки', 'милуоки', 'мілуокі', 'միլուոքի', 'מילוואקי', 'מילווקי', 'ملواکی', 'ميلواكي', 'میلواکی، ویسکانسین', 'मिलवॉकी', 'मिल्वौकी', 'মিলওয়াকি', 'மில்வாக்கி', 'మిల్వాకీ', 'ಮಿಲ್ವಾಕೀ', 'มิลวอกี', 'მილუოკი', 'ミルウォーキー', '密尔沃基', '密爾沃基', '밀워키']"
Chandler,013,370,-111.84125,368,PPL,Chandler,5289282,AZ,P,260828,,5289282,US,,,33.30616,"['candler', 'candleris', 'chandler', 'chandler junction', 'chandlur', 'chaendeulleo', 'chandora', 'chndlr  aryzwna', 'cyandlara', 'qian de lei', 'tshandlr', 'çandler', 'čandleris', 'чандлер', 'чандлър', 'تشاندلر', 'چانڈلر، ایریزونا', 'چندلر، آریزونا', 'च्यान्ड्लर', 'チャンドラー', '钱德勒', '챈들러']"
Mesa,013,378,-111.82264,380,PPL,Mesa,5304391,AZ,P,471825,,5304391,US,,,33.42227,"['gorad mesa', 'hayden', 'msc', 'mejsa', 'mesa', 'mesa city', 'zenos', 'me sa', 'mei sa', 'mesa', 'msh', 'mysa', 'mysa  ayryzwna', 'myza', 'μέσα', 'горад меса', 'мейса', 'меса', 'մեսա', 'מסה', 'ميسا', 'میزا', 'میسا، ایریزونا', 'मेसा', 'মেসা', 'เมซา', 'მესა', 'メサ', '梅薩', '메사']"
Phoenix,013,331,-112.07404,366,PPLA,Phoenix,5308655,AZ,P,1563025,,5308655,US,,,33.44838,"['east phoenix', 'feniks', 'fenikso', 'finiks', 'finiksa', 'finiksas', 'finiksos', 'foinix', 'féniks', 'fīniksa', 'gorad finiks', 'hellings mill', 'hoozdoh', 'mill city', 'phx', 'peniki', 'phenix', 'phoeniks', 'phoenix', 'pumpkinsville', 'pēniki', 'salt river', 'smith station', 'smith station phenix', 'smiths station', 'feng huang cheng', 'fenikkusu', 'finikasa', 'finiks', 'finiksa', 'fynks', 'fynyks', 'fynyks  aryzwna', 'phiniks', 'phiniks nagaram', 'phiniksa', 'pinigseu', 'piniks', 'piniksi', 'pnyqs', 'pynyqs', 'φοίνιξ', 'горад фінікс', 'финикс', 'фінікс', 'ֆինիքս', 'פיניקס', 'פניקס', 'فينيكس', 'فینکس', 'فینیکس، آریزونا', 'फ़ीनिक्स', 'फिनिक्स', 'फिनिक्स्', 'फीनिक्स', 'ফিনিক্স', 'ਫ਼ੀਨਿਕਸ', 'பீனிக்ஸ்', 'ఫీనిక్స్ నగరం', 'ಫೀನಿಕ್ಸ್', 'ഫീനിക്സ്', 'ฟีนิกซ์', 'ფინიქსი', 'ፊኒክስ፥ አሪዞና', 'フェニックス', '凤凰城', '鳳凰城', '피닉스']"
