region,org_id,alternatenames,pdb_org_id,state,ix_id,url,pch_id,geo_id,city,iata,prefixes,latitude,pdb_id,country,longitude,name,address,sources,zipcode
North America,,[],,Neuheim,1443,https://arix.dev/,,5350734,Fremont,,"{'ipv4': ['44.190.42.0/24'], 'ipv6': ['2a0e:8f00:fddd::/64', '2602:801:30ff::/64']}",37.56283,,US,-122.00044,ARIX,,['he'],
Asia-Pacific,,[],,,16,,6,2158177,Melbourne,,"{'ipv4': ['218.100.1.0/24'], 'ipv6': []}",-37.82000,,AU,144.97000,AUSIX,,['pch'],
North America,3644,['Arizona Internet Exchange'],3644,AZ,17,,,5308655,Phoenix,,"{'ipv4': ['206.223.120.0/24'], 'ipv6': ['2001:504:18::/48']}",,476,US,,AZIX,615 N. 48th Street,['pdb'],85008
North America,,[],,,1236,,,5308655,Phoenix,,"{'ipv4': ['206.223.120.0/24'], 'ipv6': ['2001:504:18:a5::/64']}",33.45070,,US,-112.06840,AZIX,,['he'],
Africa,36036,['Accra Internet Exchange'],36036,Greater Accra,1783,https://accra-ix.net,,2306104,Accra,,"{'ipv4': ['196.60.12.0/24'], 'ipv6': ['2001:7f8:b6:5::/64']}",,4259,GH,,Accra Internet Exchange LBG,"RackAfrica, 42 Ring Road Central","['he', 'pdb']",
North America,27651,[],27651,,1784,https://accurix.net/,,6094817,Ottawa,,"{'ipv4': ['149.112.74.0/24'], 'ipv6': ['2001:504:132::/64', '2602:fcd3:600::/64']}",45.40000,4285,CA,-75.72000,AccurIX,,"['he', 'pdb']",
,34819,[],34819,,1810,http://www.addix.et,,344979,Addis Ababa,,"{'ipv4': ['196.49.98.0/24'], 'ipv6': []}",,4357,ET,,Addix,,['pdb'],
Europe,,[],,,19,,1964,276781,Beirut,KYE,"{'ipv4': ['192.168.51.0/30'], 'ipv6': []}",33.82000,,LB,35.48000,Advanced Internet Exchange,,['pch'],
Europe,14033,['ANIX'],14033,Tirana,11,http://www.anix.al,1997,3183875,Tirana,TIA,"{'ipv4': ['185.1.100.0/24', '185.1.100.0/25'], 'ipv6': ['2001:7f8:bb::/48']}",41.32750,2004,AL,19.81870,Albanian Neutral Internet eXchange,Rruga e Durrësit 219,"['pdb', 'pch']",1001
North America,27159,['ABQIX'],27159,,1292,http://www.abqix.net,2253,,,,"{'ipv4': ['206.83.42.0/24'], 'ipv6': ['2001:504:9a::/64']}",,3322,US,,Albuquerque IXP,,"['pdb', 'he', 'pch']",
North America,7483,['Aloha-IX'],7483,HI,21,http://www.aloha-ix.net,2184,"[5856195, 6957263]",Honolulu,,"{'ipv4': ['206.53.207.0/25', '206.53.207.128/25'], 'ipv6': ['2001:504:65::/64', '2001:504:65:1::/64', '2001:504:3b:101::/64']}",21.30000,1489,US,-157.83000,Ninja-IX Hawaii,,"['pdb', 'pch']",
North America,,[],,,1587,http://www.aloha-ix.net,,,Kapolei (Oahu),,"{'ipv4': ['206.53.207.0/25', '206.53.207.128/25'], 'ipv6': ['2001:504:65::/64', '2001:504:65:1::/64', '2001:504:3b:101::/64']}",,,US,,Aloha-IX,,['he'],
Europe,1258,"['AAIX', 'Alpes Adria Internet eXchange']",1258,Kärnten,22,https://ixp-manager.aaix.at,1225,2774326,,KLU,"{'ipv4': ['193.37.144.0/24'], 'ipv6': ['2001:7f8:4a::/48']}",,377,AT,,Alpes Adria Internet Exchange,,"['pdb', 'he', 'pch']",
North America,,[],,Neuheim,1386,,2271,5350734,Fremont,,"{'ipv4': ['44.190.42.0/24'], 'ipv6': ['2a0e:8f00:fddd::/64']}",37.56283,,US,-122.00044,Amateur Radio Internet Exchange,,['pch'],
Europe,2634,['AMS-IX'],2634,,23,http://www.ams-ix.net/,160,,,AMS,"{'ipv4': ['80.249.208.0/21', '193.105.101.0/24'], 'ipv6': ['2001:7f8:1::/64']}",,26,NL,,Amsterdam Internet Exchange,,"['pdb', 'he', 'pch']",
Africa,10883,"['ANG-IX', 'Angola Internet Exchange point']",10883,,25,http://www.angola-ixp.ao/,,2240449,Luanda,,"{'ipv4': ['196.49.6.0/24', '196.223.1.0/24'], 'ipv6': ['2001:43f8:391::/64', '2001:43f8:390::/64']}",,421,AO,,Angola IXP,"Rua 29, EPAL 30 - Patriota - Benfica","['he', 'pdb']",
Africa,,[],,,24,,932,2240449,Luanda,NDD,"{'ipv4': ['196.223.1.0/24'], 'ipv6': []}",-8.85000,,AO,13.23000,AngolaIXP -- Angola Internet Exchange Point,,['pch'],
North America,,[],,,26,,373,5368361,Los Angeles,SNA,"{'ipv4': ['206.72.210.0/23', '206.223.143.0/24'], 'ipv6': ['2001:504:13::/64']}",33.97000,,US,-118.25000,Any2 California,,['pch'],
North America,,[],,,1293,http://www.coresite.com,,4140963,Washington,,"{'ipv4': [], 'ipv6': []}",,,US,,Any2 East,,['he'],
North America,,[],,,1745,http://www.coresite.com,,5368361,Los Angeles,,"{'ipv4': [], 'ipv6': []}",33.97000,,US,-118.25000,Any2 West,,['he'],
,34,['CoreSite - Any2West'],34,CA,162,http://www.coresite.com,,,,,"{'ipv4': ['206.72.210.0/23'], 'ipv6': ['2001:504:13::/64']}",,142,US,,Any2West,,['pdb'],
Asia-Pacific,26384,['Aperture Internet Exchange'],26384,,1342,https://ix.apernet.io,,,,,"{'ipv4': ['103.152.35.0/24'], 'ipv6': ['2406:4440::/64']}",,3471,,,Aperture-IX,,"['he', 'pdb']",
Europe,27981,[],27981,,1295,http://aqabaix.com/,2249,250774,Aqaba,AQJ,"{'ipv4': ['84.252.106.0/24'], 'ipv6': ['2a10:1100::/64']}",,3366,JO,,Aqaba IX,King Abduallah st. 41,"['pdb', 'he', 'pch']",77110
Europe,35406,"['Arexico Commercial IX - Düsseldorf', 'AXCIX Dusseldorf']",35406,NRW,1811,https://ixp.arexico.com,,2934246,Düsseldorf,,"{'ipv4': [], 'ipv6': ['2a0e:8f02:2260::/64']}",,4320,DE,,Arexico IXP - Düsseldorf,Am Gatherhof 44,"['he', 'pdb']",40472
Europe,14993,['Armenian Internet Exchange'],14993,,27,http://armix.am,,616052,Yerevan,,"{'ipv4': ['91.218.7.0/25', '91.218.4.0/22'], 'ipv6': ['2001:7f8:94::/64']}",40.13000,851,AM,44.47000,ArmIX,,"['he', 'pdb']",
Europe,,[],,,28,,1499,616052,Yerevan,EVN,"{'ipv4': ['91.218.4.0/24'], 'ipv6': []}",40.13000,,AM,44.47000,Armenian Internet Traffic Exchange,,['pch'],
Asia-Pacific,8440,['Asia Smart IX'],8440,,30,https://www.bbix.net/en,2228,,,,"{'ipv4': ['103.203.156.0/23'], 'ipv6': ['2403:c780:a800:bb00::/64']}",,1468,,,Asia Smart IX [BBIX Asia],,"['pdb', 'he', 'pch']",
Africa,33829,['CV-IXP'],33829,,1669,http://cvixp.cv,2324,3374333,Praia,,"{'ipv4': ['196.60.112.0/24'], 'ipv6': ['2001:43f8:16c0::/64']}",14.93300,4037,CV,-23.51330,Associação Cabo Verde Internet Exchange Point,,"['pdb', 'he', 'pch']",
