zipcode,longitude,pdb_org_id,address,country,city,pdb_fac_id,name,num_ixs,state,fac_id,sources,clli,geo_id,latitude,alternatenames
60326,8.630057,7,Kleyerstrasse 75-87,DE,Frankfurt,108,Telehouse - Frankfurt,4,,64,['pdb'],FRNKGE,2925533,50.096962,[]
80687,11.526173,8735,Landsberger Str. 155,DE,Munich,109,EdgeConneX Munich (EDCMUC01),2,,65,['pdb'],,2867714,48.139859,[]
65760,8.636254,174,Schwalbacher Strasse 60,DE,Frankfurt,111,ColoCenter Frankfurt,,,66,['pdb'],,2925533,50.103483,[]
7521 PE,6.84964,2,Auke Vleerstraat 1,NL,Enschede,118,Equinix EN1 - Enschede,1,OV,67,['pdb'],,2756071,52.236979,[]
60528,8.623156,8592,Lyoner Strasse 28,DE,Frankfurt,119,Digital Realty Frankfurt FRA28,2,Hessia,68,['pdb'],,2925533,50.081709,[]
10013,-74.004561,8592,32 6th Ave (Avenue of the Americas),US,New York,120,Digital Realty NYC (32 AofA),2,NY,69,['pdb'],NYCMNY,5128581,40.72,[]
28033,-3.65969,136,Gran Via de Hortaleza 3Mesena 80,ES,Madrid,121,Espanix Datacenter,3,,70,['pdb'],,3117735,40.461575,[]
08038,2.137457,2,Carrer de l'Acer 30-32,ES,Barcelona,122,Equinix BA1 - Barcelona,3,,71,['pdb'],,3128760,41.351557,[]
30303,-84.39153,8592,56 Marietta Street,US,Atlanta,125,Digital Realty ATL (56 Marietta),3,GA,72,['pdb'],ATLNGA,4180439,33.755456,[]
2685,-9.123454,2,Avenida Severiano Falcão 142685-378 Prior Velho,PT,Lisbon,126,Equinix LS1 - Lisbon,4,,73,['pdb'],,2267057,38.787919,[]
28108,-3.648584,2,Calle Valgrande 6,ES,Alcobendas,127,Equinix MD2 - Madrid,4,Madrid,74,['pdb'],,3130583,40.536855,[]
4053,7.582093,200,Dachsfelderstrasse 17,CH,Basel,129,IWB Basel,1,,75,['pdb'],,2661604,47.546259,[]
28037,-3.621211,8592,C/ Albasanz 71,ES,Madrid,130,Digital Realty Madrid MAD1-2,6,,76,['pdb'],,3117735,40.439323,[]
2020,151.188025,2,639 Gardeners RoadMascot,AU,Sydney,131,Equinix SY1/SY2 - Sydney,5,NSW,77,['pdb'],SYDNAU,2147714,-33.921868,[]
60313,8.678206,2,Taubenstrasse 7-9,DE,Frankfurt,133,Equinix FR1 - No longer operational,1,,78,['pdb'],,2925533,50.116391,[]
1140,4.412116,682,Leon Grosjeanlaan 2,BE,Brussels,135,Level(3) Brussels,3,,79,['pdb'],,2800866,50.857721,[]
E-08034,2.111883,9273,"Gran Capita, 2 - 4 (Edifici Nexus)",ES,Barcelona,138,CSUC Campus Nord,1,,80,['pdb'],,3128760,41.387314,[]
1204,6.144251,2,Rue de la Confédération 6,CH,Geneva,139,"Equinix GV1 - Geneva, City",2,GE,81,['pdb'],,2660646,46.203607,[]
100-0004,139.764809,7,"Otemachi BuildingOtemachi, Chiyoda-ku",JP,Tokyo,142,Telehouse – TOKYO Otemachi (KDDI Otemachi),1,,82,['pdb'],,1850147,35.686406,[]
,127.051167,113,"5F, Daelim Acrotel, 13, Eonju-ro 30-gil, Gangnam-gu",KR,Seoul,143,KINX Dogok,3,,83,['pdb'],,1835848,37.488139,[]
22180,-77.238951,2,8502A Tyco Rd,US,Vienna,144,"Equinix DC8 - Ashburn, Vienna",2,VA,84,['pdb'],VINNVA,4791160,38.931419,[]
19108,-75.161377,2,401 North Broad Street,US,Philadelphia,146,Equinix PH1 - Philadelphia,1,PA,85,['pdb'],,4560349,39.959668,[]
2750,12.377482,8592,Industriparken 20ABallerup,DK,Copenhagen,148,Digital Realty Copenhagen CPH1-3,7,,86,['pdb'],,2618425,55.728092,[]
"117485,",37.528861,237,"7, Butlerova street",RU,Moscow,152,Moscow M9,14,,87,['pdb'],,524901,55.652639,[]
40599,6.86728,682,In Der Steele 37A,DE,Düsseldorf,153,Level(3) Duesseldorf,2,North Rhine-Westphalia,88,['pdb'],,2934246,51.18819,[]
20153,9.103887,244,Via Caldera 21 - Easy Point (Building F),IT,Milan,154,Telnet Caldera Milan,1,Italy,89,['pdb'],,3173435,45.476177,[]
12103,13.369905,248,Alboinstr. 36 - 42Alboin-Kontor,DE,Berlin,155,Speedbone Berlin,5,DE,90,['pdb'],BRLNGE,2950159,52.465779,[]
S-161 02,17.955657,2,Mariehällsvägen 36,SE,Stockholm,156,"Equinix SK1 - Stockholm, Bromma",12,,91,['pdb'],,2673730,59.362574,[]
3006,7.478187,945,Wölflistrasse 1D3006 Bern,CH,Bern,157,colobern.ch Bern,1,Bern,92,['pdb'],,2661552,46.964845,[]
2630,12.301459,942,Hørskætten 3-5 and 122630 Taastrup,DK,Taastrup,158,GlobalConnect Taastrup 1 (CPH1),7,,93,['pdb'],,2611828,55.662,[]
4000,153.027805,260,"Level 9,127 Creek St",AU,BRISBANE,159,PIPE Networks Brisbane,1,QL,94,['pdb'],,2174003,-27.465681,[]
2000,151.207641,260,"Level 13,2 Park St,",AU,SYDNEY,160,PIPE Networks Sydney,1,NS,95,['pdb'],,2147714,-33.872665,[]
3000,144.956726,260,"Level 3,55 King St",AU,MELBOURNE,161,PIPE Networks Melbourne,1,VI,96,['pdb'],,2158177,-37.819171,[]
5000,138.594121,260,"Level 2,132 Franklin St",AU,Adelaide,162,PIPE Networks Adelaide,2,SA,97,['pdb'],,2078025,-34.927233,[]
7000,147.328921,260,"Level 2,29 Elizabeth St",AU,HOBART,163,PIPE Networks Hobart,1,TA,98,['pdb'],,2163355,-42.881849,[]
,-6.41897,2,"Unit 4027, Kingswood RoadCity West Business Campus, Saggart",IE,Dublin,164,"Equinix DB1 - Dublin, CityWest",3,,99,['pdb'],,2964574,53.296306,[]
06455000,-46.814577,2,"Av. Ceci, 1900 - Res. TamboreTamboré",BR,Barueri,165,Equinix SP4 - São Paulo,5,,100,['pdb'],,3470353,-23.497589,[]
V6B 4N6,-123.111935,271,555 West Hastings St.,CA,Vancouver,167,Harbour Centre Vancouver,5,BC,101,['pdb'],VANCBC,6173331,49.284697,[]
143-0006,139.749055,2,"TRC-C Building B Block, 4F 5-1Heiwajima 6-Chome, Oota-Ku",JP,Tokyo,168,Equinix TY1 - Tokyo,2,,102,['pdb'],EQTKJP,1850147,35.576366,[]
,114.11932,2,17/F Global Gateway (Hong Kong)168 Yeung Uk Road,HK,Tsuen Wan,170,Equinix HK1 - Hong Kong,4,Hong Kong,103,['pdb'],,6930520,22.365581,[]
85004,-112.072042,8592,120 East Van Buren Street,US,Phoenix,171,Digital Realty PHX (120 E Van Buren),3,AZ,104,['pdb'],PHNXAZ,5308655,33.452003,[]
95051,-121.98778,682,1380 Kifer Rd.,US,Sunnyvale,176,Level(3) Sunnyvale,1,CA,105,['pdb'],SNVACA,5400075,37.373412,[]
,-6.365538,8592,Unit 35 Lavery AvenuePark West Business Park,IE,Dublin,177,Digital Realty Dublin DUB1-2,2,,106,['pdb'],,2964574,53.334251,[]
,-6.439957,2,Kilcarbery Business ParkNangor Road,IE,Dublin,178,"Equinix DB2 - Dublin, Kilcarbery",3,,107,['pdb'],,2964574,53.318647,[]
28050,-3.671891,2,Calle Isabel Colbrand 6-8,ES,Madrid,179,Equinix MD1 - Madrid,1,,108,['pdb'],,3117735,40.513497,[]
90475,11.17706,297,Am Tower 5,DE,Nuremberg,185,NorthC Nürnberg,1,Bavaria,109,['pdb'],,2861650,49.38991,[]
46225,-86.172275,13880,733 W. Henry St,US,Indianapolis,186,Netrality - Indy Telcom Center - 733 W. Henry,2,IN,110,['pdb'],IPLVIN,4259418,39.75988,[]
10013,-74.008333,308,60 Hudson StSuite 1903,US,New York,188,FiberNet Telecom Group - 60 Hudson St,1,NY,111,['pdb'],NYCMNY,5128581,40.717664,[]
10011,-74.003203,308,111 Eighth AveSuite 303,US,New York,189,FiberNet Telecom Group New York (111 Eighth Ave),1,NY,112,['pdb'],NYCMNY,5128581,40.741355,[]
2000,4.402951,314,Noorderlaan 133,BE,Antwerp,190,LCL Antwerp,2,,113,['pdb'],,2803138,51.264294,[]
81829,11.662742,682,Wamslerstrasse 8,DE,Munich,192,Level(3) Munich,2,,1279,['pdb'],,2867714,48.135973,[]
1831,4.455068,314,Kouterveldstraat 13Diegem,BE,Brussels,193,LCL Brussels (Diegem),4,,114,['pdb'],,2800866,50.887474,[]
2037,151.182583,322,30 Ross StreetGlebe,AU,Sydney,195,AAPT Glebe,1,NS,115,['pdb'],,2147714,-33.883255,[]
2007,151.197691,77,400 Harris StreetUltimo,AU,Sydney,196,Global Switch Sydney,4,NSW,116,['pdb'],,2147714,-33.875599,[]
2006,151.203797,322,187 Thomas StreetHaymarket,AU,Sydney,197,AAPT Haymarket,1,NS,117,['pdb'],,2147714,-33.881547,[]
