clli,num_ixs,latitude,zipcode,sources,longitude,pdb_org_id,country,fac_id,pdb_fac_id,alternatenames,address,geo_id,name,state,city
,1,40.513497,28050,['pdb'],-3.671891,2,ES,108,179,[],Calle Isabel Colbrand 6-8,3117735,Equinix MD1 - Madrid,,Madrid
,1,49.38991,90475,['pdb'],11.17706,297,DE,109,185,[],Am Tower 5,2861650,NorthC Nürnberg,Bavaria,Nuremberg
IPLVIN,2,39.75988,46225,['pdb'],-86.172275,13880,US,110,186,[],733 W. Henry St,4259418,Netrality - Indy Telcom Center - 733 W. Henry,IN,Indianapolis
NYCMNY,1,40.717664,10013,['pdb'],-74.008333,308,US,111,188,[],60 Hudson StSuite 1903,5128581,FiberNet Telecom Group - 60 Hudson St,NY,New York
NYCMNY,1,40.741355,10011,['pdb'],-74.003203,308,US,112,189,[],111 Eighth AveSuite 303,5128581,FiberNet Telecom Group New York (111 Eighth Ave),NY,New York
,2,51.264294,2000,['pdb'],4.402951,314,BE,113,190,[],Noorderlaan 133,2803138,LCL Antwerp,,Antwerp
,2,48.135973,81829,['pdb'],11.662742,682,DE,1279,192,[],Wamslerstrasse 8,2867714,Level(3) Munich,,Munich
,4,50.887474,1831,['pdb'],4.455068,314,BE,114,193,[],Kouterveldstraat 13Diegem,2800866,LCL Brussels (Diegem),,Brussels
,1,-33.883255,2037,['pdb'],151.182583,322,AU,115,195,[],30 Ross StreetGlebe,2147714,AAPT Glebe,NS,Sydney
,4,-33.875599,2007,['pdb'],151.197691,77,AU,116,196,[],400 Harris StreetUltimo,2147714,Global Switch Sydney,NSW,Sydney
,1,-33.881547,2006,['pdb'],151.203797,322,AU,117,197,[],187 Thomas StreetHaymarket,2147714,AAPT Haymarket,NS,Sydney
,1,-27.467146,4000,['pdb'],153.030416,322,AU,118,198,[],"Level 8, 123 Eagle StreetBrisbane",2174003,AAPT Brisbane,QL,Brisbane
,1,-27.459649,4006,['pdb'],153.03099,322,AU,119,199,[],"Level 1, 100 Wickham StreetFortitude Valley",2174003,AAPT Fortitude Valley,QL,Brisbane
,1,-37.817684,3000,['pdb'],144.956817,322,AU,120,200,[],"Level 5, 530 Collins StreetMelbourne",2158177,AAPT Melbourne,VI,Melbourne
,1,-34.926075,5000,['pdb'],138.6013,322,AU,121,201,[],"Level 1, 45 Pirie StreetAdelaide",2078025,AAPT Adelaide,SA,Adelaide
,1,49.453955,90429,['pdb'],11.063356,339,DE,122,203,[],Deutschherrnstraße 15-19Hochstraße 14-16,2861650,Deutschherrnkarree,Bavaria,Nuremberg
,10,59.422226,16494,['pdb'],17.916696,8592,SE,123,208,[],Esbogatan 11Kista,2673730,Digital Realty Stockholm STO1-6,,Stockholm
,1,1.297541,117584,['pdb'],103.772471,353,SG,124,211,[],National University of Singapore / Computer Centre2 Engineering Drive 4,1880252,Singapore Open Exchange (SOX),,Singapore
,2,51.930359,3044,['pdb'],4.414322,355,NL,125,212,[],Vlaardingweg 62 - 415,2747891,Spaanse Kubus Rotterdam,,Rotterdam
,1,50.995925,6135KD,['pdb'],5.845593,358,NL,126,213,[],Bergerweg 120,2747203,Unilogic Networks Datacenter Sittard,Limburg,Sittard
,4,50.060164,10600,['pdb'],14.482978,8089,CZ,127,214,[],Nad Elektrarnou 1428/47,3067696,CE Colo Prague,,Prague
,2,50.08103,130 00,['pdb'],14.451122,364,CZ,128,215,[],Mahlerovy sady 1,3067696,DC Tower Zizkov CRa,Prague,Prague
,2,50.078094,13000,['pdb'],14.475889,366,CZ,129,216,[],Vinohradská 190,3067696,GTS Telehouse Prague,,Prague
,1,50.062152,14000,['pdb'],14.428607,368,CZ,130,217,[],5. května 65,3067696,Pragonet Telehouse Prague,,Prague
,2,51.188,40599,['pdb'],6.86608,28858,DE,131,218,[],In der Steele 43,2934246,Arelion Dusseldorf DDF/B,,Düsseldorf
BSTNMA,1,42.354692,02110,['pdb'],-71.060266,373,US,132,219,[],1 Summer Street,4930956,Markley Group One Summer Street Boston,MA,Boston
